ID,FirstName,LastName,Mobile,BaseId,Active,Positions,PayrollID,ProjectCode,CostCentre,LocationCode
1,ABIGAIL,ACCETINO,040404040,NULL,1,NULL,NULL,NULL,NULL,NULL
2,ADA,AGALE,040404040,NULL,1,NULL,NULL,NULL,NULL,NULL
3,ADDELYNE,AHRENS,040404040,5,1,NULL,4000553,310,25,20
4,ADRIEAANUS,AJAN,040404040,5,1,NULL,4000608,310,30,20
5,AGNES,ALBERT,040404040,6,1,NULL,4000992,310,25,40
6,AILSA,ALFREDSON,040404040,6,1,NULL,4001247,NULL,NULL,NULL
7,ALAN,ALTMAN,040404040,6,1,NULL,4001284,310,25,40
8,ALBERT,ANDERSEN,040404040,5,1,NULL,4001088,NULL,NULL,NULL
9,ALENA,ANGLESEY,040404040,6,1,NULL,4000732,NULL,NULL,NULL
10,ALEXANDRIA,ANUA,040404040,1,1,NULL,4000552,NULL,NULL,NULL
11,ALICIA,ARCHER,040404040,5,1,NULL,NULL,NULL,NULL,NULL
12,ALISAON,ARROWSMITH,040404040,6,1,NULL,4001062,NULL,NULL,NULL
13,ALLAN,ASHTON,040404040,6,1,NULL,4000237,110,20,40
14,ALMA,ATKINSON,040404040,5,1,NULL,4000718,NULL,NULL,NULL
15,AMANDA,AUGUSTINE,040404040,6,1,NULL,4000469,NULL,NULL,NULL
16,AMELAI,AYU,040404040,5,1,NULL,4000620,NULL,NULL,NULL
17,AMY,BADKIN,040404040,6,1,NULL,4001253,310,25,50
19,ANGELIKA,BALE,040404040,5,1,NULL,4001085,NULL,NULL,NULL
20,ANGELLA,BALTUS,040404040,6,1,NULL,4000865,310,25,40
22,ANISSA,BARDSLEY,040404040,1,1,NULL,4000109,201,25,50
23,ANNA MARIE,BARNEY,040404040,1,1,NULL,4001341,NULL,NULL,NULL
24,ANNEMARIE,BARRETT,040404040,5,1,NULL,4001325,NULL,NULL,NULL
25,ANTHEA,BARTLETT,040404040,NULL,0,NULL,4000201,NULL,NULL,NULL
26,ANTOINIE,BASILE,040404040,6,1,NULL,NULL,NULL,NULL,NULL
27,ANTONY,BATT,040404040,7,1,NULL,4001022,310,25,30
28,APHOL,BAXENDELL,040404040,4,1,NULL,4000358,NULL,NULL,NULL
29,ARI,BEAKIN,040404040,1,1,NULL,4000891,201,25,50
30,ARJUN,BEASLEY,040404040,5,1,NULL,4001316,NULL,NULL,NULL
31,ARREN,BEDOURIE,040404040,5,1,NULL,4000254,NULL,NULL,NULL
32,ASHLEE,BEIL,040404040,6,1,NULL,NULL,NULL,NULL,NULL
33,ASHTON,BENHIN,040404040,4,1,NULL,4000888,201,30,60
34,ASTRO,BENSON,040404040,5,1,NULL,4001079,NULL,NULL,NULL
35,ATTIKA,BERTHELSEN,040404040,5,1,NULL,4001378,NULL,NULL,NULL
36,AURORA,BEVERAGE,040404040,6,1,NULL,NULL,NULL,NULL,NULL
37,AYSE,BICKLE,040404040,3,0,NULL,4001338,310,30,55
39,BADEN,BISMAEK,040404040,5,0,NULL,NULL,NULL,NULL,NULL
